ID,Who,I want to...,In order to...,Notes
E1,Online Text Publisher,Add Alpheios functionality directly to the pages I publish,give my users resources for language study on my pages,
E2,Online Text Publish,Brand the Alpheios UI with my own look and feel,provide my users with a consistent ui,
